tahun,kecamatan,kelurahan_desa,kec_lower,kec_kel,lat,long,jumlah_stunting_beresiko,jumlah_stunting_tidak_beresiko,jumlah_sasaran_keluarga,jarak_anak_t1,jarak_anak_t2,jarak_anak_t3,jarak_anak_t4,memiliki_anak_baduta,memiliki_anak_balita,memiliki_anak_pus,memiliki_anak_pus_hamil,air_minum,jamban,asi_eks_jan,asi_eks_feb,asi_eks_mar,asi_eks_apr,asi_eks_may,asi_eks_jun,asi_eks_july,asi_eks_aug,asi_eks_sept,asi_eks_oct,asi_eks_nov,asi_eks_dec,jumlah_puskesmas_asi_eks,jumlah_posyandu,jumlah_posyandu_data_lansia,luas,prop_stunting_luas
2021,Sanankulon,JEDING,sanankulon,sanankulonJEDING,-8.0592,112.1564,553,628,2764,0,83,8,30,45,50,298,12,4,13,0,0,0,0,0,0,2,4,6,7,11,12,1,2,2,103.75,5.330120482
2021,Wonodadi,PIKATAN,wonodadi,wonodadiPIKATAN,-8.0594,112.0225,129,211,2347,1,173,5,132,100,171,949,32,2,69,4,4,4,4,4,5,10,8,16,21,29,38,1,6,2,595.53,0.2166137726
2021,Doko,PLUMBANGAN,doko,dokoPLUMBANGAN,-8.0603,112.3527,386,396,2532,3,193,8,76,103,177,774,21,88,74,5,0,0,0,0,0,0,0,0,0,0,0,1,2,3,655.16,0.5891690579
2021,Garum,SUMBERDIREN,garum,garumSUMBERDIREN,-8.0615,112.2138,147,185,2321,3,66,6,53,50,69,331,13,14,5,6,6,5,5,7,6,6,7,8,7,7,6,1,2,2,110.25,1.333333333
2021,Doko,SIDOREJO,doko,dokoSIDOREJO,-8.0616,112.3813,432,208,2344,5,173,3,77,73,148,636,19,271,24,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,"1,045.00",0.4133971292
2021,Wonodadi,KOLOMAYAN,wonodadi,wonodadiKOLOMAYAN,-8.0631,112.0395,484,514,2650,2,259,7,150,137,242,1132,38,21,54,3,3,8,12,17,21,33,40,46,46,45,46,1,6,1,497.00,0.9738430584
2021,Wlingi,TEMBALANG,wlingi,wlingiTEMBALANG,-8.0633,112.3366,394,4735,6871,1,70,3,33,29,54,252,14,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,130.53,3.018463189
2021,Gandusari,GONDANG,gandusari,gandusariGONDANG,-8.0634,112.2758,130,132,2268,2,59,4,40,41,54,261,9,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153.49,0.8469607141
2021,Srengat,BAGELENAN,srengat,srengatBAGELENAN,-8.0636,112.0919,220,428,2564,1,105,4,57,95,136,624,21,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,234.00,0.9401709402
2021,Wlingi,BABADAN,wlingi,wlingiBABADAN,-8.0641,112.3188,227,649,2785,7,423,20,216,180,306,1437,36,58,79,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,523.25,0.4338270425
2021,Talun,JAJAR,talun,talunJAJAR,-8.0647,112.2843,356,305,2441,4,99,5,41,50,102,419,20,3,36,2,2,1,0,0,0,0,0,0,0,0,0,1,1,3,200.40,1.776447106
2021,Garum,BENCE,garum,garumBENCE,-8.0666,112.2356,761,756,2892,10,338,12,207,183,326,1506,52,196,104,12,14,18,17,17,16,22,23,26,24,26,25,1,8,5,642.00,1.185358255
2021,Srengat,SRENGAT,srengat,srengatSRENGAT,-8.0669,112.0738,281,295,2431,0,203,1,111,142,209,1042,38,47,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,511.00,0.5499021526
2021,Sanankulon,SUMBER,sanankulon,sanankulonSUMBER,-8.0670,112.1317,439,482,2618,18,329,16,157,150,291,1285,39,12,115,0,0,0,0,0,0,7,9,17,23,31,41,1,7,1,409.50,1.072039072
2021,Sanankulon,SUMBERJO,sanankulon,sanankulonSUMBERJO,-8.0672,112.1489,240,317,2453,12,277,21,148,149,294,1188,52,60,130,0,0,0,0,0,0,9,16,24,27,33,39,1,7,7,341.80,0.7021650088
2021,Ponggok,JATILENGGER,ponggok,ponggokJATILENGGER,-8.0682,112.1143,280,422,2558,4,203,15,77,72,137,692,29,13,13,4,6,6,4,6,10,13,12,13,15,20,21,1,4,2,427.25,0.6553540082
2021,Garum,POJOK,garum,garumPOJOK,-8.0686,112.0000,627,669,2805,8,314,14,186,153,298,1283,39,19,147,8,6,7,8,9,8,14,14,15,17,17,15,1,9,4,"1,058.00",0.5926275992
2021,Srengat,DANDONG,srengat,srengatDANDONG,-8.0721,112.0800,310,376,2512,0,109,6,78,72,129,539,12,6,8,9,5,3,1,1,1,1,1,2,6,8,8,1,3,2,14.08,22.01704545
2021,Talun,KAWERON,talun,talunKAWERON,-8.0725,112.2963,873,319,2455,2,169,10,72,94,150,652,23,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,296.90,2.940383968
2021,Doko,DOKO,doko,dokoDOKO,-8.0755,112.3715,514,69,2205,4,148,4,72,81,129,576,20,454,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"48,499.00",0.01059815666
2021,Srengat,KENDALREJO,srengat,srengatKENDALREJO,-8.0762,112.0942,178,279,2415,2,101,2,55,51,113,502,24,6,63,3,1,0,0,0,0,0,0,0,0,0,0,1,3,2,221.18,0.8047743919
2021,Kesamben,BUMIREJO,kesamben,kesambenBUMIREJO,-8.0773,112.4179,508,337,2473,5,230,2,88,100,154,830,26,197,166,5,1,0,0,0,0,0,0,0,0,0,0,1,4,1,583.11,0.8711906844
